Year,quarter,unemprate.change,GDP.growth.rate
1997,1,-0.3,4.531101306
1997,2,-0.3,4.278683122
1997,3,-0.3,4.677043704
1997,4,-0.7,4.340891321
1998,1,-0.5,4.522976971
1998,2,-0.5,3.92166857
1998,3,-0.3,3.987838151
1998,4,-0.3,4.982565517
1999,1,-0.5,4.927054259
1999,2,-0.2,4.803664793
1999,3,-0.4,4.754666563
1999,4,-0.4,4.822223914
2000,1,-0.2,4.167452741
2000,2,-0.3,5.377199551
2000,3,-0.3,4.140518859
2000,4,-0.1,2.907129822
2001,1,0.3,2.301910713
2001,2,0.5,1.001909668
2001,3,1.1,0.64075826
2001,4,1.8,0.402311527
2002,1,1.4,1.599511383
2002,2,1.3,1.473006604
2002,3,0.7,2.260121163
2002,4,0.3,1.921775731
2003,1,0.2,1.462811141
2003,2,0.5,1.732415849
2003,3,0.4,2.924183367
2003,4,-0.3,3.827982205
2004,1,-0.1,4.137113809
2004,2,-0.7,4.047296549
2004,3,-0.7,3.083239077
2004,4,-0.3,3.051615903
2005,1,-0.6,3.351858571
2005,2,-0.6,3.059653834
2005,3,-0.4,3.086113707
2005,4,-0.5,2.726767282
2006,1,-0.5,3.046090266
2006,2,-0.4,2.979145978
2006,3,-0.5,2.228932761
2006,4,-0.5,2.447308353
2007,1,-0.3,1.424600686
2007,2,0,1.863066538
2007,3,0.2,2.739493595
2007,4,0.6,2.53049224
2008,1,0.7,2.038183498
2008,2,0.9,1.600272645
2008,3,1.5,0.026274106
2008,4,2.4,-1.861670351
2009,1,3.5,-3.302934861
2009,2,4,-3.829955349
2009,3,3.6,-2.638728367
2009,4,2.6,0.099681172
