"restrictor" "damaged"
"1" "without" "yes"
"2" "without" "yes"
"3" "without" "yes"
"4" "without" "yes"
"5" "without" "yes"
"6" "without" "yes"
"7" "without" "yes"
"8" "without" "yes"
"9" "without" "yes"
"10" "without" "yes"
"11" "without" "yes"
"12" "without" "yes"
"13" "without" "yes"
"14" "without" "yes"
"15" "without" "yes"
"16" "without" "yes"
"17" "without" "yes"
"18" "without" "yes"
"19" "without" "yes"
"20" "without" "yes"
"21" "without" "yes"
"22" "without" "yes"
"23" "without" "yes"
"24" "without" "yes"
"25" "without" "yes"
"26" "without" "yes"
"27" "without" "yes"
"28" "without" "yes"
"29" "without" "yes"
"30" "without" "yes"
"31" "without" "yes"
"32" "without" "yes"
"33" "without" "yes"
"34" "without" "yes"
"35" "without" "yes"
"36" "without" "yes"
"37" "without" "yes"
"38" "without" "yes"
"39" "without" "yes"
"40" "without" "yes"
"41" "without" "yes"
"42" "without" "yes"
"43" "without" "yes"
"44" "without" "yes"
"45" "without" "yes"
"46" "without" "yes"
"47" "without" "yes"
"48" "without" "yes"
"49" "without" "yes"
"50" "without" "yes"
"51" "without" "yes"
"52" "without" "yes"
"53" "without" "yes"
"54" "without" "yes"
"55" "without" "yes"
"56" "without" "yes"
"57" "without" "yes"
"58" "without" "yes"
"59" "without" "yes"
"60" "without" "yes"
"61" "without" "yes"
"62" "without" "yes"
"63" "without" "yes"
"64" "without" "yes"
"65" "without" "yes"
"66" "without" "yes"
"67" "without" "yes"
"68" "without" "yes"
"69" "without" "yes"
"70" "without" "yes"
"71" "without" "yes"
"72" "without" "yes"
"73" "without" "yes"
"74" "without" "yes"
"75" "without" "yes"
"76" "without" "yes"
"77" "without" "yes"
"78" "without" "yes"
"79" "without" "yes"
"80" "without" "yes"
"81" "without" "yes"
"82" "without" "yes"
"83" "without" "yes"
"84" "without" "yes"
"85" "without" "yes"
"86" "without" "yes"
"87" "without" "yes"
"88" "without" "yes"
"89" "without" "yes"
"90" "without" "yes"
"91" "without" "yes"
"92" "without" "yes"
"93" "without" "yes"
"94" "without" "yes"
"95" "without" "yes"
"96" "without" "yes"
"97" "without" "yes"
"98" "without" "yes"
"99" "without" "yes"
"100" "without" "yes"
"101" "without" "yes"
"102" "without" "yes"
"103" "without" "yes"
"104" "without" "yes"
"105" "without" "yes"
"106" "without" "yes"
"107" "without" "yes"
"108" "without" "yes"
"109" "without" "yes"
"110" "without" "yes"
"111" "without" "yes"
"112" "without" "yes"
"113" "without" "yes"
"114" "without" "yes"
"115" "without" "yes"
"116" "without" "yes"
"117" "without" "yes"
"118" "without" "yes"
"119" "without" "yes"
"120" "without" "yes"
"121" "without" "yes"
"122" "without" "yes"
"123" "without" "yes"
"124" "without" "yes"
"125" "without" "yes"
"126" "without" "yes"
"127" "without" "yes"
"128" "without" "yes"
"129" "without" "yes"
"130" "without" "yes"
"131" "without" "yes"
"132" "without" "yes"
"133" "without" "yes"
"134" "without" "yes"
"135" "without" "yes"
"136" "without" "yes"
"137" "without" "yes"
"138" "without" "yes"
"139" "without" "yes"
"140" "without" "yes"
"141" "without" "yes"
"142" "without" "yes"
"143" "without" "yes"
"144" "without" "yes"
"145" "without" "yes"
"146" "without" "yes"
"147" "without" "yes"
"148" "without" "yes"
"149" "without" "yes"
"150" "without" "yes"
"151" "without" "yes"
"152" "without" "yes"
"153" "without" "yes"
"154" "without" "yes"
"155" "without" "yes"
"156" "without" "yes"
"157" "without" "yes"
"158" "without" "yes"
"159" "without" "yes"
"160" "without" "yes"
"161" "without" "yes"
"162" "without" "yes"
"163" "without" "yes"
"164" "without" "yes"
"165" "without" "yes"
"166" "without" "yes"
"167" "without" "yes"
"168" "without" "yes"
"169" "without" "yes"
"170" "without" "yes"
"171" "without" "yes"
"172" "without" "yes"
"173" "without" "yes"
"174" "without" "yes"
"175" "with" "yes"
"176" "with" "yes"
"177" "with" "yes"
"178" "with" "yes"
"179" "with" "yes"
"180" "with" "yes"
"181" "with" "yes"
"182" "with" "yes"
"183" "with" "yes"
"184" "with" "yes"
"185" "with" "yes"
"186" "with" "yes"
"187" "without" "no"
"188" "without" "no"
"189" "without" "no"
"190" "without" "no"
"191" "without" "no"
"192" "without" "no"
"193" "without" "no"
"194" "without" "no"
"195" "without" "no"
"196" "without" "no"
"197" "without" "no"
"198" "without" "no"
"199" "without" "no"
"200" "without" "no"
"201" "without" "no"
"202" "without" "no"
"203" "without" "no"
"204" "without" "no"
"205" "without" "no"
"206" "without" "no"
"207" "without" "no"
"208" "without" "no"
"209" "without" "no"
"210" "without" "no"
"211" "without" "no"
"212" "without" "no"
"213" "without" "no"
"214" "without" "no"
"215" "without" "no"
"216" "without" "no"
"217" "without" "no"
"218" "without" "no"
"219" "without" "no"
"220" "without" "no"
"221" "without" "no"
"222" "without" "no"
"223" "without" "no"
"224" "without" "no"
"225" "without" "no"
"226" "without" "no"
"227" "without" "no"
"228" "without" "no"
"229" "without" "no"
"230" "without" "no"
"231" "without" "no"
"232" "without" "no"
"233" "without" "no"
"234" "without" "no"
"235" "without" "no"
"236" "without" "no"
"237" "without" "no"
"238" "without" "no"
"239" "without" "no"
"240" "without" "no"
"241" "without" "no"
"242" "without" "no"
"243" "without" "no"
"244" "without" "no"
"245" "without" "no"
"246" "without" "no"
"247" "without" "no"
"248" "without" "no"
"249" "without" "no"
"250" "without" "no"
"251" "without" "no"
"252" "without" "no"
"253" "without" "no"
"254" "without" "no"
"255" "without" "no"
"256" "without" "no"
"257" "without" "no"
"258" "without" "no"
"259" "without" "no"
"260" "without" "no"
"261" "without" "no"
"262" "without" "no"
"263" "without" "no"
"264" "without" "no"
"265" "without" "no"
"266" "without" "no"
"267" "without" "no"
"268" "without" "no"
"269" "without" "no"
"270" "without" "no"
"271" "without" "no"
"272" "without" "no"
"273" "without" "no"
"274" "without" "no"
"275" "without" "no"
"276" "without" "no"
"277" "without" "no"
"278" "without" "no"
"279" "without" "no"
"280" "without" "no"
"281" "without" "no"
"282" "without" "no"
"283" "without" "no"
"284" "without" "no"
"285" "without" "no"
"286" "without" "no"
"287" "with" "no"
"288" "with" "no"
"289" "with" "no"
"290" "with" "no"
"291" "with" "no"
"292" "with" "no"
"293" "with" "no"
"294" "with" "no"
"295" "with" "no"
"296" "with" "no"
"297" "with" "no"
"298" "with" "no"
"299" "with" "no"
"300" "with" "no"
"301" "with" "no"
"302" "with" "no"
"303" "with" "no"
"304" "with" "no"
"305" "with" "no"
"306" "with" "no"
"307" "with" "no"
"308" "with" "no"
"309" "with" "no"
"310" "with" "no"
"311" "with" "no"
"312" "with" "no"
"313" "with" "no"
"314" "with" "no"
"315" "with" "no"
"316" "with" "no"
"317" "with" "no"
"318" "with" "no"
"319" "with" "no"
"320" "with" "no"
"321" "with" "no"
"322" "with" "no"
"323" "with" "no"
"324" "with" "no"
"325" "with" "no"
"326" "with" "no"
"327" "with" "no"
"328" "with" "no"
