# Tanner.txt
#
# Data read from Table 1 in Zhou, S. and G.H. Kruse.  2000.  Modifications of cod pots to reduce tanner crab bycatch.  North American Journal of Fisheries Management 20:897-907.
#
# trial: trial number
# type: type of cod pot variation -- standard, slick.board, ZK.excluder, and cod.sock.
# approach: number of tanner crabs that approached cod pots.
# reached: number of tanner crabs that reached (insereted any body part into pot opening) the cod pots.
# entered: number of tanner crabs that actually entered the trap completely.
#
# authors compared reach probability (reached/approached) and entry probability (entered/reached)
#  among four cod pot variation types.
#
trial	type	approach	reached	entered
1	standard	69	48	0
2	standard	52	40	3
3	standard	86	59	4
4	standard	56	43	0
5	standard	44	31	3
6	standard	30	27	4
7	standard	71	51	7
8	standard	57	35	3
9	standard	72	49	2
1	slick.board	17	1	0
2	slick.board	65	24	1
3	slick.board	35	3	0
4	slick.board	45	6	0
5	slick.board	81	16	2
6	slick.board	14	3	0
7	slick.board	65	9	2
8	slick.board	52	8	0
9	slick.board	59	13	0
1	ZK.excluder	25	0	0
2	ZK.excluder	89	5	2
3	ZK.excluder	85	2	0
4	ZK.excluder	45	1	0
5	ZK.excluder	87	3	0
6	ZK.excluder	26	0	0
7	ZK.excluder	80	0	0
8	ZK.excluder	91	2	0
9	ZK.excluder	51	1	0
1	cod.sock	57	33	9
2	cod.sock	58	39	6
3	cod.sock	37	29	10
