State,Coal,NatGas,AsphRoadOil,AviatGas,DistFuel,JetFuel,Kerosene,LPG,Lubricants,MotorGas,ResidFuel,OtherPet,TotalPet,NukeElect,HydroElect,WoodWaste,Other,NetInterState,Total
Alabama,845.6,342.3,28.8,0.4,135.9,13.3,0.4,25.9,5.8,300.7,9.5,18.9,539.6,317.2,85,154.1,0.2,-341.4,1942.6
Alaska,15.9,413.1,12.6,1.2,68,137.6,0.1,0.9,0.7,33.3,7.1,30.7,292.2,0,13.7,1.7,0.1,0,736.6
Arizona,424.1,245.2,17,1,125.8,56.2,0,6,3.5,304.8,1.6,8.3,524.2,300.1,80.4,10.5,3.8,-235.3,1353
Arkansas,274,231.6,3.6,0.9,121.7,5.9,0.3,22.2,4.1,173.2,9.7,37,378.6,154.4,25.9,57.3,0.9,-16.4,1106.3
California,67.9,2513.9,125.6,2.7,567.2,551.2,2.6,40,28.5,1833.8,160.1,292.7,3604.4,347.1,256.3,150.5,327.6,586,7853.4
Colorado,400.3,385,17,1.4,101.6,43.8,0.2,23.5,3.7,258.6,0,12,461.8,0,12.7,10.5,1.4,-1.6,1270
Connecticut,40,149.4,4.7,0.4,144.6,13.4,2.6,8.8,2.6,184.6,56.8,20.3,438.7,161.2,2.9,38.7,1.7,20.5,853.1
Delaware,38.3,51.8,5,0.3,20.4,0.7,1.4,4.9,0.8,48.4,31.6,33,146.5,0,0,1.8,0.1,53.9,292.5
DC,0.7,30.6,0.2,0,9.7,0,1.2,0,0.4,20.3,1.8,0,33.5,0,0,1.1,0,102.3,168.2
Florida,726.1,569.8,35.5,2.4,286.8,173.8,1.3,25.9,8.2,943.3,434.4,77.9,1989.7,330,1.5,150,31.7,336.1,4134.8
Georgia,772,362.7,39.4,0.5,265.4,56.2,1.5,24.2,7.2,591.6,10.8,37.2,1034,351.9,20.6,164.5,0.3,174.5,2880.6
Hawaii,17.6,2.9,2.3,0.2,35.2,50.4,0,2.1,0.5,50.6,83.5,14.9,239.8,0,1,15.1,5.7,0,282.2
Idaho,11.2,81.8,12.3,0.3,53.2,4.1,0.1,5.4,1.1,78.7,0.1,0.1,155.3,0,73.5,28.7,1.5,149,501
Illinois,993.6,970.7,60.5,0.6,245.8,105.8,1.5,66.3,20.1,631.1,20,152.4,1304.1,965,1.5,38.7,0.7,-404,3870.2
Indiana,1567.1,513.7,36.6,0.3,191.8,66.7,2.6,22.5,10.4,391.8,3.5,111.2,837.3,0,5.8,31.2,1.2,-154.6,2801.7
Iowa,444.9,225.2,12.8,0.3,117.1,4.4,0.5,58.3,4.1,191.6,0.3,11.5,400.9,40.3,8.6,30.7,5.3,-5.2,1150.7
Kansas,354.6,273.8,27.6,1,90.6,12.8,0.2,40.2,5.9,157.8,8.2,46.7,391,108.1,0.3,7.8,0.7,-92.6,1043.7
Kentucky,1010.7,216.7,22.1,0.5,179,34,2.3,35.9,6.1,267.1,0.9,156.5,704.3,0,39.2,9.7,0.7,-101.8,1879.5
Louisiana,240,1339.5,10.3,1.4,247.5,195.4,6.5,273.9,11.6,278.6,85.5,380.7,1491.4,181.1,7.4,130,0.6,109.5,3499.5
Maine,7.9,101.2,3.7,0.3,83.3,4,10.5,6.2,1.1,74.4,44.1,5.7,233.4,0,26.9,140.4,15.8,-34.9,490.7
Maryland,317.3,191.4,28.6,0.5,134.8,16.6,5.1,9.2,4.2,308.8,36.3,24.1,568.1,142.7,12,28,0.3,160.5,1420.4
Massachusetts,109,364.1,12.1,0.4,224.8,39.7,2.2,10.5,4.9,340.5,102.8,24.5,762.4,53.7,-0.1,56.1,3.1,200.5,1548.8
Michigan,796.5,928.7,37.4,0.4,171.9,35.3,1.7,68.2,19,622.4,10,75.4,1041.7,279.1,4.4,79.5,-5.7,-4.1,3120
Minnesota,353.1,345,43.2,0.5,145.6,65.7,1.3,32.4,6.5,324.2,7.2,46.8,673.5,123.2,8.5,57.2,37.9,146.2,1744.5
Mississippi,198.3,340.8,12.8,0.5,99,47.7,0.4,27.2,3.8,190.1,62.1,41.9,485.5,103.7,0,57.5,0.3,-13.4,1172.6
Missouri,716.1,288.6,35.9,0.7,174.2,42.5,0.7,46.6,9.3,377.8,0.9,30.3,718.8,87.6,8.5,11.1,0.2,-16,1815
Montana,184.3,66.5,6,0.5,49.4,4.3,0.1,5.1,1.4,60.6,0,40.6,168,0,67.3,13.2,0.3,-133.9,365.6
Nebraska,227.5,124.1,5.7,0.4,82.8,6.3,0.1,13.1,2.3,106.2,0.8,0.1,217.8,91.2,11.4,4.4,0.4,-49.6,627.1
Nevada,188.6,181.3,6.7,0.4,56.2,47.7,0.1,5.5,0.6,119.2,13.1,0.5,250.2,0,25.6,3.5,27,-46.6,629.4
New_Hampshire,40.1,24.8,1.5,0.3,54.4,5,2.4,8.9,0.5,83.9,9.4,12,178.3,90.8,10.1,23.9,1.4,-47.4,322.2
New_Jersey,112.2,585.8,66.3,0.3,224.9,192.5,12.1,27.6,13.7,490.5,79.5,139,1246.3,318.3,-1.3,36.8,0.7,201.5,2500.4
New_Mexico,297.1,262.1,5.3,0.4,72.3,17.4,0.2,15.9,1.9,112.8,0.6,24.2,251,0,2.4,4,1.1,-138.6,679.2
New_York,315,1205.9,39.3,1.3,482.8,83.1,19.5,25.7,12.1,696.7,233.2,118.9,1712.5,422,225.4,152.1,27.6,74.2,4134.6
North_Carolina,756.5,215.6,34.9,0.8,213.2,34.3,12.8,50,7,514.3,22.8,59.6,949.6,394.7,26.4,92.1,0.3,155.2,2590.5
