years,breed
2015,Old English Sheepdog
2014,Cardigan Welsh Corgi
2013,Old English Sheepdog
2012,German Shepherd Dog
2011,Bearded Collie
2010,Puli
2009,Puli
2008,Australian Shepherd
2007,Bouviers des Flandres
2006,Old English Sheepdog
2005,Border Collie
2004,Welsh Corgi (Pembroke)
2003,German Shepherd Dog
2002,Welsh Corgi (Pembroke)
2001,Welsh Corgi (Pembroke)
2000,Welsh Corgi (Pembroke)
1999,German Shepherd
1998,Old English Sheepdog
1997,Shetland Sheepdog
1996,Bearded Collie
1995,Bouvier Des Flandres
1994,German Shepherd Dog
1993,German Shepherd Dog
1992,Bouvier Des Flandres
1991,Old English Sheepdog
1990,Shetland Sheepdog
1989,Puli
1988,Shetland Sheepdog
1987,German Shepherd Dog
1986,German Shepherd Dog
1985,Shetland Sheepdog
1984,German Shepherd Dog
1983,Belgian Tervuren
